,Text
0,"Tony Blair has expressed his apologies to two families who were victims of a major miscarriage of justice in the UK. The prime minister addressed the wrongful imprisonment of 11 individuals for IRA bombings at pubs in Guildford and Woolwich in 1974. Mr. Blair conveyed his regret, stating, ""I deeply regret the suffering and injustice they endured."" The apology was delivered to members of the Conlon and Maguire families in a private setting at Westminster. In a televised statement, Mr. Blair emphasized that the families should receive full and public exoneration."
1,"The families had been anticipating the apology to be delivered during Prime Minister's Questions in the House of Commons. However, Gerry Conlon, one of the Guildford Four wrongly convicted of planting the bombs, expressed the families' joy over the apology. Conlon mentioned that Mr. Blair's apology was delivered with great sincerity and exceeded their expectations, as he took the time to listen to everyone and showed genuine emotion. Conlon praised Blair for bridging divides and helping to mend old wounds, a day he never thought would come. The apology came after a significant campaign in Ireland for a public apology following the"
2,"She stated that those who had doubts about our innocence should now be convinced that we were completely innocent. They had been imprisoned for dealing with explosives, but the scientific evidence used against them was later proven to be false. The Court of Appeal overturned the sentences of the Guildford Four in October 1989 and the Maguire Seven in June 1991. The case of Mr. Conlon was featured in the Oscar-nominated film In The Name Of The Father, with Daniel Day-Lewis in the lead role."
3,"The Tories have accused Labour of reneging on their pre-election immigration promise even before their new pledge card has been finalized. Home Secretary Charles Clarke reportedly expressed a desire for increased migration to the UK to Labour members. Tory co-chairman Liam Fox criticized Clarke's comments, noting a contradiction with Tony Blair's forecast of reduced immigration. In response, Clarke dismissed Fox's accusations as an attempt to gain political advantage by conflating immigration with asylum."
4,"According to London's Evening Standard, Mr. Clarke expressed his desire for Britain to provide sanctuary to those escaping tyranny during a question and answer session with Labour activists in Gateshead. He emphasized that offering refuge is not only a moral and legal obligation but also a fundamental aspect of the country's identity. Mr. Clarke stated that the country welcomes more migration for study and work purposes, as well as for those seeking refuge. When asked about the impact of the government's new immigration plans on net migration, Mr. Blair assured MPs that the measures would eliminate abuse and likely reduce numbers due to the end of chain"
5,"Dr Fox criticized the prime minister for repeatedly breaking promises, noting that even the Labour Party's vague election pledges don't last long. The Tories are pushing for quotas for economic migrants and refugees, with plans to reveal more details on health checks for migrants on Tuesday. Mr Clarke dismissed the Tory attack as an attempt to gain political advantage, accusing them of conflating immigration and asylum issues."
6,"Mr Clarke emphasized that the UK would welcome genuine economic migrants for essential roles through a strict points-based system. Only asylum seekers truly escaping death or persecution would be allowed entry. He stated, ""We anticipate a decrease in unfounded applications under our proposed measures."" Dr Fox previously accused Mr Blair and other Cabinet members of spreading falsehoods about Tory policies and then criticizing those falsehoods. He remarked on BBC Radio, ""If you are willing to deceive about the reasons for engaging in war, it's likely you will deceive about anything."" The recent disagreements before the election arose when Mr Blair informed Labour members that the"
7,"Public trust in taxes is deteriorating because Labour and Tories are not being honest with people on the matter, according to Lib Dem leader Charles Kennedy. In a speech delivered a day before the government's pre-Budget report, Mr. Kennedy stated that his party was acknowledging the ""painful economic realities."" He expressed that the current tax level was appropriate, although he proposed a new 50% tax for high earners. Other parties have criticized the Lib Dems for making promises without proper costings. Mr. Kennedy emphasized his commitment to addressing this criticism, noting that the Lib Dems have already disclosed the full cost"
8,"During his speech at the Commonwealth Club, Mr. Kennedy emphasized the importance of a political party maintaining economic credibility by fulfilling its promises and meeting expectations. He stressed the necessity for budgets to be balanced and for tough decisions to be made regarding public spending. The Liberal Democrats proposed cutting expenses deemed as ""low priority,"" such as the government's ID cards scheme and the Child Trust Fund, in order to reallocate funds towards enhancing basic state pensions for individuals over the age of 75, increasing police presence, and reintroducing free eye and dental check-ups. The party has been transparent about their tax policies, previously"
9,"The Liberal Democrats accuse the Conservatives of proposing tax cuts just for publicity, while Labour is keeping most of its tax increases hidden. According to Mr. Kennedy, it is crucial for political parties to be transparent about their plans in order to maintain the trust of the people in fair taxation and responsible spending. He criticized Gordon Brown's stealth tax approach, the unfairness of the current tax system, and the Conservative party's unfulfilled promises on tax issues. Mr. Kennedy called on the Treasury to allow the National Audit Office to assess the government's financial performance. In response, Conservative co-chairman Liam Fox"
10,"Tony Blair has stated that voters will need to wait for Labour's manifesto to see if the party intends to raise taxes. The Prime Minister's comments came in response to a challenge from Conservative leader Michael Howard, who claimed that Labour would increase taxes in its post-election Budget. Mr Blair dismissed Tory assertions that they could slash £35bn in ""wasteful spending,"" arguing that the party had miscalculated. The two political figures clashed shortly after the start of the pre-election period. Mr Howard informed MPs that various independent experts, including the International Monetary Fund and the Institute of Fiscal Studies, had indicated"
11,"Their plans for reduced government borrowing and increased spending on essential services were also outlined. Labour and the Liberal Democrats have criticized the party's financial calculations, arguing that it would result in cuts to frontline services. However, Mr. Howard emphasized that voters would have a clear choice in the upcoming election between more wasteful spending and higher taxes under Labour, or Tory promises of value for money and lower taxes. The Liberal Democrats have also unveiled their pre-election agenda, with leader Charles Kennedy asserting that his party represents the true opposition, particularly on issues such as the Iraq war, council tax, and university tuition fees."
12,"The Conservative Party has decided to support the government's contentious proposal to implement ID cards. The shadow cabinet announced its backing before the upcoming parliamentary vote on a bill mandating the use of ID cards. Despite some senior Tories strongly opposing the idea during a challenging meeting, the party ultimately agreed to support it. The bill, aimed at addressing issues such as crime, terrorism, and illegal immigration, is likely to face opposition from the Liberal Democrats."
13,"According to sources within the Conservative Party who spoke to the BBC, the scheme has been criticized as ""deeply flawed"" and a waste of money. Michael Howard, who has always supported ID cards and attempted to introduce them during his time as Home Secretary, has been in favor of the initiative. The party, which had previously been neutral on the issue, has now decided to take a stance, with a Tory source stating that they are no longer sitting on the fence. Despite endorsing ID cards, the Conservatives have emphasized their intention to hold ministers accountable for the scheme's specific objectives. They have also expressed"
14,"Mark Oaten, the Liberal Democrat home affairs spokesman, expressed his belief that Michael Howard was disregarding his colleagues' worries about ID cards. Oaten urged the Conservative Party to take a stand and attempt to change public opinion rather than simply following it. Guy Mansfield QC, the new chairman of the Bar Council, cautioned that individuals on the fringes of society could be pushed towards extremism. He highlighted the potential consequences for young Asian men in the event of a bombing incident, emphasizing that they could face detention if they do not possess ID cards."
15,"The shadow chancellor emphasized the necessity for a significant shift in direction in Britain to ensure prosperity as the Tory Party spring conference commenced. Oliver Letwin highlighted that the UK's ability to compete with other nations hinged on the proposed £4bn tax cuts. Tory co-chairman Liam Fox criticized Labour's performance at the forum in Brighton, with party leader Michael Howard scheduled to address attendees later. Tony Blair warned that Conservative policies could lead to economic downfall, but Mr Letwin pointed out that Britain had dropped from fourth to 11th place in the global economic competitiveness rankings."
16,"He questioned whether the country can compete and prosper without addressing the regulatory and tax burdens on the economy. Highlighting the importance of reducing regulations and taxes to tackle challenges posed by countries like China and India, he emphasized the need to implement carefully planned strategies to save £12bn by 2007-2008. He criticized Labour for advocating higher taxes, borrowing, and wasteful spending. Dr. Fox also criticized the government's failure to control immigration, asylum, and its performance in the NHS, education, and crime. He promised that a Tory government would address these issues by improving immigration policies, priorit"
