,Text
0,Tony Blair has expressed his apologies to two families who experienced one of the UK's most significant miscarriages of justice.
1,The families had anticipated that the apology would be delivered during Prime Minister's Questions in the House of Commons.
2,She stated that those who had doubts about us should now accept that we were completely innocent.
3,The Tories have accused Labour of reneging on its pre-election immigration promise even before the ink has dried on its new pledge card.
4,London's Evening Standard reported that Mr Clarke expressed his desire for Britain to provide refuge for those escaping tyranny during a question and answer session with Labour activists in Gateshead.
5,"Dr. Fox informed journalists on Monday that the prime minister has a history of breaking promises, with the latest ones not even lasting a week."
6,"Mr Clarke emphasized that the UK would welcome genuine economic migrants for key jobs through a strict points-based system, with only asylum seekers genuinely fleeing death or persecution being admitted."
7,"Public trust in taxes is deteriorating due to the lack of transparency from both Labour and Tories on the issue, according to Lib Dem leader Charles Kennedy."
8,"Mr Kennedy emphasized the importance of economic credibility for a political party during his speech at the Commonwealth Club, stressing the need for budgets to be balanced and tough decisions to be made regarding public spending."
9,"According to the Liberal Democrats, the Conservatives have merely presented potential options for tax cuts to generate attention, while Labour has concealed most of its planned tax increases."
10,Tony Blair stated that voters will need to wait for Labour's manifesto to determine if the party intends to increase taxes.
11,Their plans for reduced government borrowing and increased spending on key services were also detailed.
12,The Conservative Party is set to support contentious government proposals for the implementation of ID cards.
13,"According to sources within the Conservative Party, the scheme has been described as ""deeply flawed"" and a waste of money."
14,"Mark Oaten, the Liberal Democrat home affairs spokesman, expressed his belief that Michael Howard was disregarding the concerns of his colleagues regarding ID cards."
15,"Britain must undergo a significant shift in direction to thrive, according to the shadow chancellor at the start of the Tory Party spring conference."
16,"""Is it possible for this country to compete and prosper without addressing the burden of regulation and tax on our economy?"" he inquired."
17,Downing Street announced that Britain has proposed sending a unit of 120 Gurkhas to support the tsunami relief operation in Indonesia.
18,"Nevertheless, a spokesperson highlighted the specific logistical challenges in Indonesia that the Gurkhas could potentially assist with."
19,"The prime minister, wearing a life jacket, sailed in a dinghy with school children to promote his party's education policies."
20,He later stated that outdoor activities were beneficial for children but acknowledged that many teachers now have concerns about participating due to the fear of potential lawsuits if something goes wrong.
21,Parents and teachers who attended the informal discussion with Mr. Blair on Tuesday had been invited after contacting their MPs to express concerns about education.
22,Archbishop Desmond Tutu has urged for the release of the remaining inmates at Guantanamo Bay and terror suspects detained without trial in the UK.
23,"Moazzam Begg, a resident of Birmingham, along with Martin Mubanga, Richard Belmar, and Feroz Abbasi, all from London, have been detained by the US at Guantanamo Bay for nearly three years."
24,"Archbishop Tutu expressed his disapproval of the measures, stating: ""I am against any arbitrary detention that is taking place, even in Britain."""
25,Tory leader Michael Howard has announced that the Conservative Party plans to reduce the number of MPs by approximately one-fifth if they win the election.
26,Mr Howard informed the paper that the changes would occur within five years of the Conservatives winning a general election.
27,"Mr Howard stated that the plan would address the ""great unfairness"" of the disproportionate number of Scottish and Welsh MPs compared to those from England by equalizing representation at Westminster."
28,Ministers are considering the possibility of electronically tagging parents who refuse to allow former partners contact with their children.
29,"Parenting plans offer guidance on access arrangements, drawing from successful real-life examples."
30,"Improved access to legal, emotional, and practical guidance through phone and internet services."
31,"A spokesman mentioned that judges have the ability to imprison parents who violate contact orders, but this was considered a last resort and rarely utilized due to not being in the child's best interests."
32,Fathers' rights groups have expressed disapproval of the government's proposals.
33,The Conservatives are pushing for a legal requirement for an equal split in parental access.
34,New regulations regarding marriage for foreign nationals residing in the UK will soon be implemented.
35,"Starting from Tuesday, all non-EU nationals, except citizens of Switzerland, Liechtenstein, Iceland, or Norway, who plan to marry in the UK must either obtain a visa for marriage before entering the country or apply for a Home Office 'certificate of marriage approval'."
36,"In some instances, the Home Secretary may act as a last-resort marriage registrar under these regulations."
37,Pro-hunt Members of Parliament claim that the new law prohibiting hunting with dogs is so badly written that no one can determine what constitutes an offense.
38,"Giles Bradshaw, a North Devon landowner, got in touch with the Middle Way Group, co-chaired by Mr. Opik, after reaching out to Defra, the rural affairs ministry, regarding the legality of his method of using dogs to scare off deer and foxes under the Hunting Act."
39,"The government is eager to leave behind this disastrous law, but I have serious doubts that the countryside will be so willing to cooperate."
40,The top judge in the UK has disclosed that he has had disagreements with ministers regarding the selection process for the heads of public inquiries.
41,"According to the government, it is unlikely that the lord chancellor would go against Lord Woolf's wishes."
42,"Lord Woolf stated that although the current rules were not formally documented, it was practically unimaginable for the lord chancellor to disregard his concerns."
