,Text,Hyperbole,Text_similarity,Readability,Style_Consistency
0,Tony Blair has expressed his apologies to two families who experienced one of the UK's most significant miscarriages of justice.,1.0,52.488813483481245,12.1591320754717,44272.43359375
1,The families had anticipated that the apology would be delivered during Prime Minister's Questions in the House of Commons.,0.6875,43.25396825396825,10.17896551724138,41304.89453125
2,She stated that those who had doubts about us should now accept that we were completely innocent.,0.6,39.42934782608695,12.701363636363634,28417.296875
3,The Tories have accused Labour of reneging on its pre-election immigration promise even before the ink has dried on its new pledge card.,1.4,54.74413871153001,12.433181818181819,56830.86328125
4,London's Evening Standard reported that Mr Clarke expressed his desire for Britain to provide refuge for those escaping tyranny during a question and answer session with Labour activists in Gateshead.,1.8571428571428572,42.579058170090775,12.703846153846158,24823.365234375
5,"Dr. Fox informed journalists on Monday that the prime minister has a history of breaking promises, with the latest ones not even lasting a week.",2.0,44.024453941120605,10.943000000000001,53741.87890625
6,"Mr Clarke emphasized that the UK would welcome genuine economic migrants for key jobs through a strict points-based system, with only asylum seekers genuinely fleeing death or persecution being admitted.",1.375,40.905932146033955,13.00410607356715,38665.84375
7,"Public trust in taxes is deteriorating due to the lack of transparency from both Labour and Tories on the issue, according to Lib Dem leader Charles Kennedy.",1.5714285714285714,44.64345858562472,11.17223880597015,36067.671875
8,"Mr Kennedy emphasized the importance of economic credibility for a political party during his speech at the Commonwealth Club, stressing the need for budgets to be balanced and tough decisions to be made regarding public spending.",2.1,41.831694134325716,11.47058823529412,23863.54296875
9,"According to the Liberal Democrats, the Conservatives have merely presented potential options for tax cuts to generate attention, while Labour has concealed most of its planned tax increases.",1.5555555555555556,52.02339324218741,14.55732287449393,66809.71875
10,Tony Blair stated that voters will need to wait for Labour's manifesto to determine if the party intends to increase taxes.,1.25,41.211910070605725,13.150656370656371,22366.900390625
11,Their plans for reduced government borrowing and increased spending on key services were also detailed.,2.0,37.30203619909502,15.291850746268654,80857.109375
12,The Conservative Party is set to support contentious government proposals for the implementation of ID cards.,1.4,47.98488069926766,12.97478915662651,48250.16015625
13,"According to sources within the Conservative Party, the scheme has been described as ""deeply flawed"" and a waste of money.",0.6666666666666666,51.12538034028813,11.966222677595631,72527.625
